run_id,dataset,method,noise,seed,found_eq,r2,time_s,status
bacon3_S-2_N0.02_S51,S-2,bacon3,0.02,51,y = 0.9959 * (x1*x2) + 0.017,0.9919,0.03,Success
bacon7_S-2_N0.02_S42,S-2,bacon7,0.02,42,y/(x1*x2) = 1.003,0.9925,0.01,Success
bacon7_S-2_N0.02_S43,S-2,bacon7,0.02,43,y/(x1*x2) = 0.9987,0.9920,0.01,Success
bacon7_S-2_N0.02_S44,S-2,bacon7,0.02,44,y/(x1*x2) = 0.9898,0.9935,0.01,Success
bacon7_S-2_N0.02_S45,S-2,bacon7,0.02,45,y/(x1*x2) = 0.9983,0.9930,0.01,Success
bacon7_S-2_N0.02_S46,S-2,bacon7,0.02,46,y/(x1*x2) = 1.005,0.9929,0.01,Success
bacon7_S-2_N0.02_S47,S-2,bacon7,0.02,47,y/(x1*x2) = 1.001,0.9921,0.01,Success
bacon7_S-2_N0.02_S48,S-2,bacon7,0.02,48,y/(x1*x2) = 1.007,0.9909,0.01,Success
bacon7_S-2_N0.02_S49,S-2,bacon7,0.02,49,y/(x1*x2) = 1.001,0.9929,0.01,Success
bacon7_S-2_N0.02_S50,S-2,bacon7,0.02,50,y/(x1*x2) = 0.9968,0.9919,0.01,Success
bacon7_S-2_N0.02_S51,S-2,bacon7,0.02,51,y/(x1*x2) = 0.9978,0.9918,0.01,Success
bacon3_S-2_N0.05_S42,S-2,bacon3,0.05,42,y = 0.04499 * (y**2) + 4.215,0.9284,0.01,Success
bacon3_S-2_N0.05_S43,S-2,bacon3,0.05,43,y = 0.04598 * (y**2) + 4.152,0.9346,0.01,Success
bacon3_S-2_N0.05_S44,S-2,bacon3,0.05,44,y = 0.04354 * (y**2) + 4.073,0.9381,0.02,Success
bacon3_S-2_N0.05_S45,S-2,bacon3,0.05,45,y = 0.04544 * (y**2) + 4.148,0.9361,0.01,Success
bacon3_S-2_N0.05_S46,S-2,bacon3,0.05,46,y = 0.04273 * (y**2) + 4.322,0.9180,0.01,Success
bacon3_S-2_N0.05_S47,S-2,bacon3,0.05,47,y = 0.04079 * (y**2) + 4.67,0.9239,0.01,Success
bacon3_S-2_N0.05_S48,S-2,bacon3,0.05,48,y = 0.04362 * (y**2) + 4.368,0.9336,0.01,Success
bacon3_S-2_N0.05_S49,S-2,bacon3,0.05,49,y = 0.04563 * (y**2) + 4.03,0.9358,0.01,Success
bacon3_S-2_N0.05_S50,S-2,bacon3,0.05,50,y = 0.04493 * (y**2) + 4.226,0.9339,0.01,Success
bacon3_S-2_N0.05_S51,S-2,bacon3,0.05,51,y = 0.04268 * (y**2) + 4.297,0.9244,0.01,Success
bacon7_S-2_N0.05_S42,S-2,bacon7,0.05,42,y/(x1*x2) = 1.007,0.9542,0.01,Success
bacon7_S-2_N0.05_S43,S-2,bacon7,0.05,43,y/(x1*x2) = 0.9968,0.9502,0.01,Success
bacon7_S-2_N0.05_S44,S-2,bacon7,0.05,44,y/(x1*x2) = 0.9744,0.9612,0.01,Success
bacon7_S-2_N0.05_S45,S-2,bacon7,0.05,45,y/(x1*x2) = 0.9956,0.9581,0.01,Success
bacon7_S-2_N0.05_S46,S-2,bacon7,0.05,46,y/(x1*x2) = 1.012,0.9584,0.01,Success
bacon7_S-2_N0.05_S47,S-2,bacon7,0.05,47,y/(x1*x2) = 1.003,0.9519,0.01,Success
bacon7_S-2_N0.05_S48,S-2,bacon7,0.05,48,y/(x1*x2) = 1.018,0.9447,0.01,Success
bacon7_S-2_N0.05_S49,S-2,bacon7,0.05,49,y/(x1*x2) = 1.001,0.9572,0.01,Success
bacon7_S-2_N0.05_S50,S-2,bacon7,0.05,50,y/(x1*x2) = 0.992,0.9495,0.01,Success
bacon7_S-2_N0.05_S51,S-2,bacon7,0.05,51,y/(x1*x2) = 0.9945,0.9506,0.01,Success
bacon3_S-2_N0.1_S42,S-2,bacon3,0.1,42,y = 0.04498 * (y**2) + 4.108,0.9050,0.01,Success
bacon3_S-2_N0.1_S43,S-2,bacon3,0.1,43,y = 0.04637 * (y**2) + 3.982,0.9088,0.01,Success
bacon3_S-2_N0.1_S44,S-2,bacon3,0.1,44,y = 0.04405 * (y**2) + 3.817,0.9207,0.02,Success
